ID,NAME,LAT,LONG,ELEVATION
1,s-92-709,-9.211,-70.938,192.000
3,s-92-706,-9.211,-70.625,200.000
5,s-92-703,-9.211,-70.313,185.000
7,s-92-700,-9.211,-70.000,195.000
9,s-89-709,-8.899,-70.938,200.000
11,s-89-706,-8.899,-70.625,198.000
13,s-89-703,-8.899,-70.313,200.000
15,s-89-700,-8.899,-70.000,200.000
17,s-86-709,-8.586,-70.938,196.000
19,s-86-706,-8.586,-70.625,197.000
21,s-86-703,-8.586,-70.313,200.000
23,s-86-700,-8.586,-70.000,200.000
25,s-83-709,-8.274,-70.938,195.000
27,s-83-706,-8.274,-70.625,200.000
29,s-83-703,-8.274,-70.313,200.000
31,s-83-700,-8.274,-70.000,198.000
