ID,NAME,LAT,LONG,ELEVATION
1,s-108-703,-10.772,-70.313,253.000
3,s-108-700,-10.772,-70.000,302.000
5,s-108-697,-10.772,-69.688,300.000
7,s-108-694,-10.772,-69.375,284.000
9,s-108-691,-10.772,-69.063,300.000
11,s-108-688,-10.772,-68.750,265.000
13,s-108-684,-10.772,-68.438,200.000
15,s-105-703,-10.460,-70.313,292.000
17,s-105-700,-10.460,-70.000,199.000
19,s-105-697,-10.460,-69.688,186.000
21,s-105-694,-10.460,-69.375,297.000
23,s-105-691,-10.460,-69.063,294.000
25,s-105-688,-10.460,-68.750,200.000
27,s-105-684,-10.460,-68.438,201.000
29,s-101-703,-10.147,-70.313,278.000
31,s-101-700,-10.147,-70.000,200.000
33,s-101-697,-10.147,-69.688,200.000
35,s-101-694,-10.147,-69.375,202.000
37,s-101-691,-10.147,-69.063,199.000
39,s-101-688,-10.147,-68.750,200.000
41,s-101-684,-10.147,-68.438,200.000
43,s-98-703,-9.835,-70.313,218.000
45,s-98-700,-9.835,-70.000,200.000
47,s-98-697,-9.835,-69.688,200.000
49,s-98-694,-9.835,-69.375,195.000
51,s-98-691,-9.835,-69.063,200.000
53,s-98-688,-9.835,-68.750,198.000
55,s-98-684,-9.835,-68.438,200.000
57,s-95-703,-9.523,-70.313,199.000
59,s-95-700,-9.523,-70.000,190.000
61,s-95-697,-9.523,-69.688,192.000
63,s-95-694,-9.523,-69.375,200.000
65,s-95-691,-9.523,-69.063,197.000
67,s-95-688,-9.523,-68.750,148.000
69,s-95-684,-9.523,-68.438,181.000
